hours_studied,sleep_hours,class_attendance,grade
5.99342830602247,7.35778736034828,4,14.5
4.72347139765763,7.56078452636823,4,12
6.29537707620139,8.08305124317528,3,14
8.04605971281605,8.0538020520349,6,17
4.53169325055333,5.62233063204291,5,12.5
4.53172608610164,6.06217496008488,6,12.5
8.15842563101478,7.51503526720866,6,17.5
6.53486945830582,7.51378595091221,5,17
4.0610512281301,7.51504768630605,5,13.5
6.08512008717193,10,6,16.5
4.07316461437508,7.57089051069317,6,14
4.06854049285949,8.1355656401806,4,11.5
5.48392454313207,7.9540017634932,4,12
1.1734395106844,7.6513912513058,3,5.5
1.55016433497393,6.68473075535965,6,6.5
3.87542494151805,7.75896922049327,5,12
2.97433775933115,6.22717478546243,4,9.5
5.62849466519055,6.76318139325999,5,15.5
3.18395184895758,6.5146364521709,5,11
2.17539259732942,7.08187413938632,4,8.5
7.93129753784311,9.31465856667351,3,17
4.54844739902693,5.13273480740825,5,9.5
5.13505640937585,7.68626019037451,5,14
2.15050362757309,5.38728412881035,5,9
3.91123455094963,6.52806813421057,5,10
5.22184517941973,8.08895059696737,6,16
2.69801284515539,7.06428001909546,5,10.5
5.75139603669134,5.92225522207069,5,13
3.79872262016239,6.28469629074003,6,12.5
4.41661250041345,7.67959774893468,4,15
3.79658677554121,6.26963336828286,3,10.5
8.70455636901788,7.21645858958198,3,15.5
4.97300555052413,7.04557183990381,5,13
2.8845781420882,6.34839965239418,5,9
6.64508982420638,9.14394408932533,5,17.5
2.55831270005796,7.63391902231801,4,8.5
5.41772719000951,4.97485741334239,3,11.5
1.08065975224045,7.18645431476943,3,5.5
2.34362790220314,6.33821353523161,4,9
5.39372247173825,7.85243333479622,5,14.5
6.47693315999082,6.2074792615673,4,15
5.34273656237994,6.8852635585331,4,13
4.76870343522352,7.50498727898046,6,13.5
4.39779260882142,7.86575519417012,4,11.5
2.04295601926515,5.79970359294422,5,7.5
3.56031158321058,6.66549876415905,5,12
4.07872245808043,6.52505468883904,4,12
7.11424445243783,6.34667076742629,5,14
5.68723657913692,8.7654542402811,6,16.5
1.47391968927453,7.40498171096096,6,10
5.64816793878959,5.73911604566496,3,13
4.22983543916737,7.91786194705478,6,15.5
3.64615599938808,9.12215619701263,4,12
6.22335257768174,8.03246526055115,4,13.5
7.0619990449919,5.48063003404599,4,12.5
6.8625602382324,6.51576592713375,6,17
3.32156495355472,8.26691114918662,4,12
4.38157524829757,6.29233053438122,4,11.5
5.66252686280713,7.44381942814623,5,14.5
6.95109025424472,7.77463405342934,4,14
4.04165152430942,6.07306952842192,3,13
4.62868204667237,6.9404746439382,3,12
2.78733005198794,4,3,7.5
2.60758675183866,5.97561235866571,3,9
6.6250516447884,6.74743184860684,3,14.5
7.71248005714165,5.75221681803515,5,15.5
4.85597975683933,8.63241130393164,4,12.5
7.00706579578405,5.56985862203937,4,14.5
5.72327205009527,6.55995551330302,6,16.5
3.70976049078975,7.13074057728609,4,13
5.72279121101683,8.44127328906612,5,16.5
8.07607313293194,5.56413784882056,4,14
4.9283479217801,8.16316375215496,4,12
8.12928731162801,7.01023306101959,3,15
0,6.01849134895205,4,3.5
6.64380500875045,7.46210347426327,4,15.5
5.17409413647634,7.19905969557347,4,11
4.40198529906827,6.39978312284121,3,12.5
5.18352155307101,7.06980208499002,3,12.5
1.02486217079821,6.61468640313824,4,6
4.56065622432498,7.11351734525125,4,11
5.71422514302349,7.66213067452105,4,12.5
7.95578808948303,8.58601681614535,5,17.5
3.96345956345271,5.76218450117315,5,11.5
3.38301279421362,9.13303337465627,3,10
3.99648591283093,5.0479122004775,5,10
6.83080423540415,6.84821490496442,5,15
5.65750221931937,7.58831720648458,3,15
3.94047959246592,7.28099186773503,6,12.5
6.02653486622671,6.37730048017941,6,13
5.19415509869608,6.79187774964273,3,12
6.93728998106578,6.50699906534117,4,14
3.5958938122453,6.41063524305579,5,9
4.34467570680446,7.84960209702103,5,13
4.21578369373569,7.35701548596505,4,11.5
2.07297010373576,6.30709040473935,4,8.5
5.59224055412915,7.89959987543325,4,16
5.52211054435978,7.30729952087661,4,15
5.01022691328492,7.81286211883896,5,13.5
4.53082573324971,7.62962884192361,4,11.5
2.16925851589917,6.17100498907793,4,11
4.15870935446928,6.43981895980303,5,12
4.31457096694646,7.74729360512326,3,12
3.39544546155676,7.61037026543347,4,11
4.67742857666798,6.97909840603585,5,13.5
5.80810171362908,7.11732738330878,6,14.5
8.77237180242106,8.27766489578842,5,16.5
5.34915562566368,6.40842861116417,5,12.5
5.51510078144553,7.54709738117004,3,13
4.85110816846767,6.79780734756611,4,12
1.16245756940192,6.78231879677278,5,6
4.94697224910157,8.09877685198719,4,13.5
5.12046041988205,7.82541634898803,4,13
9.92648422497057,7.81350963600064,4,18.5
4.61527807043776,8.30547880715433,3,10
5.60309468466723,7.02100384163276,4,14.5
4.93057646058951,7.68195297129496,4,14
2.66264392476094,6.68973324340654,4,7
7.28564562903004,7.32416635248844,3,14.5
6.50386606537355,6.86985694563232,6,15
6.58206389408609,7.09699596499272,5,13.5
3.18122509041052,7.59515702543691,5,10.5
7.8055886218722,6.18177931676653,5,14.5
2.19629787441544,9.09238727568546,4,12
6.17371418760054,5.9939826185003,3,14
9.38091125161996,5.78581138721227,5,17
3.01892734973862,8.15811087350007,5,12
3.86740454079446,7.79166269396294,5,11.5
5.19930273017528,7.62411981705216,4,13
3.9930486917676,7.62834550926428,3,12
1.89867313786773,6.98775322715309,4,7
5.13712594961206,6.10274562851417,4,13
2.87539257254779,7.07580455819373,5,10
5.94718486127036,6.32283828848789,5,13.5
3.16115153153239,7.97511973341775,4,11.5
8.09986881003508,6.85294261849786,6,17
3.43349341532753,6.17450280320749,5,10.5
4.35587696758865,6.67861415834701,4,12.5
6.62703443473934,7.41293145427563,3,13
2.53827136713209,6.43627544719603,3,9
5.45491986920826,6.17777960443357,4,13
7.61428550856486,7.24368721149191,3,14.5
1.78503353087755,7.24496657110872,4,8
5.36926771706461,6.49305682462887,4,11.5
5.51976558849685,6.52896169438168,4,13.5
6.56364574355462,7.23204993735764,6,15.5
2.52609857824384,5.55191565850268,3,7.5
2.35908677383145,5.59253622562344,5,9.5
6.0438831312338,6.28155577874756,4,13
5.59396934646637,6.78655284828815,6,13
5.50098570069175,7.310907565598,3,11.5
5.69289641899395,8.47535621694955,4,15
3.63995055684302,7.85765962320202,6,11.5
5.46450739432201,6.84006147003657,6,16
5.58614494659736,6.98098379209731,5,12.5
3.57129716394726,5.99747063536219,4,12
8.73154902228951,6.98148686400761,4,15.5
5.94766584182358,6.71134136107986,5,14
2.6173930055947,7.32271856033809,6,10
6.31310721726766,6.17276905644768,5,14.5
3.05063665954536,7.51934651424117,5,11
6.5741692074849,8.53273891300258,4,16.5
7.31719115801481,6.89123985154314,5,16
3.35863536329658,7.40171172209894,4,10.5
6.92675225848864,7.69014399171111,4,14.5
5.825561853873,6.59877952811416,4,13.5
6.64412031998898,7.22409248181042,5,15.5
8.79358596530789,7.0125924007818,4,14
4.50922376799426,7.09767609854883,3,10.5
3.49252767128502,6.22699021614453,5,11.5
3.22097114074895,7.02451017425894,4,10.5
3.36837943006912,7.49799829124545,5,11
4.84579658117179,8.45114360779504,3,13
5.68230394963329,7.95927082608521,4,15
5.55338159866004,9.15318245751156,5,14.5
6.65436649807205,6.23265243711195,3,12.5
5.02600378375581,7.87232063672068,4,13.5
7.90706815431463,7.18334200573835,3,14
4.47068633352409,9.18980293321767,3,13.5
10,6.19170171464485,6,15.5
6.25133469553001,6.16027815781922,4,14.5
3.28568488716744,6.40060735455598,5,11.5
2.85821500387778,4.87610427569019,4,8.5
5.96494483048637,6.47424497831924,5,15
4.5530744293483,6.2408673384463,5,14.5
6.42800098818418,7.15039378647621,5,16
5.94647524914709,7.34175597577716,4,12.5
4.85434217468626,8.87617083921589,4,12.5
3.30641256386319,7.95042383818605,4,10.5
1.97030555062827,6.4230963443376,6,9
4.10697009586596,6.10158532865164,5,12.5
6.71279758864695,7.49191917150651,6,15.5
5.42818748826041,5.67976679297936,3,12
2.50852244257602,8.83145876585435,5,10.5
5.34636185170236,8.17944012072129,6,14.5
5.77063475945767,6.5308243478953,4,11.5
3.23228512759773,5.28686547090912,3,8
5.30745021189106,8.35387237416541,5,13.5
5.116417436892,6.88546015474738,5,12.5
2.71405940433875,8.23781631197346,6,12.5
